id,title,author,year
130,The Revolt of the Masses,José Ortega y Gasset,1929
131,The Making of the Atomic Bomb,Richard Rhodes,1988
132,Letters to a Young Poet,Rainer Maria Rilke,1934
133,Enneads,Plotinus,250
134,The Harmony of the Worlds,Johannes Kepler,1619
135,Critique of Pure Reason,Immanuel Kant,1781
136,Euclid's Elements,Euclid,-280
137,Rationalism in Politics,Michael Oakeshott,1962
138,Poetics,Aristotle,-335
139,Tristes Tropiques,Claude Levi-Strauss,1955
140,Dispatches,Michael Herr,1977
141,A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace,1997
142,Two Treatises of Government,John Locke,1689
143,Either Or,Soren Kierkegaard,1843
144,The Unconscious,Sigmund Freud,1890
145,Rights of Man,Thomas Paine,1791
146,Economy and Society,Max Weber,1922
147,Desert Solitaire,Edward Abbey,1968
148,The Snow Leopard,Peter Matthiessen,1978
149,Good-Bye to All That,Robert Graves,1929
150,Samuel Johnson,Walter Jackson Bate,1977
151,Sociobiology,Edward O. Wilson,1975
152,The Journal of Jules Renard,Jules Renard,1925
153,The Woman Warrior: Memoirs of a Girlhood Among Ghosts,Maxine Hong Kingston,1975
154,A Mathematician's Apology,G. H. Hardy,1940
155,The Affluent Society,John Kenneth Galbraith,1958
156,Centesimus Annus,Pope John Paul II,1991
157,Patriotic Gore,Edmund Wilson,1962
158,Jefferson and His Time,Dumas Malone,1948
159,The Pursuit of the Millennium,Norman Cohn,1957
160,Up in the Old Hotel,Joseph Mitchell,1992
161,Battle Cry of Freedom,James M. McPherson,1988
162,The Great Terror,Robert Conquest,1968
163,The Face of Battle,John Keegan,1976
164,On War,Carl Von Clausewitz,1832
165,Chronicles of Wasted Time,Malcolm Muggeridge,1972
166,Facundo,Domingo Faustino Sarmiento,1845
167,Maximes,François duc de La Rochefoucauld,1680
168,Les Caractères ,Jean de La Bruyère,1688
169,The Worst Journey in the World,Robert Falcon Scott,1922
170,Lettres de madame de Sévigné,Marie de Rabutin-Chantal marquise de Sévigné,1696
171,On Writing,Stephen King,2000
172,The Provincial Letters,Blaise Pascal,1656
173,On Food and Cooking: The Science and Lore of the Kitchen,Harold McGee,1984
174,Correspondence,Voltaire,1778
175,Duke of Deception,Geoffrey Wolff,1979
176,The Works of Max Beerbohm,Max Beerbohm,1896
177,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Michael Azerrad,2001
178,The Americans,Robert Frank,1958
179,Hollywood Babylon,Kenneth Anger,1959
180,Essential Cuisine,Michel Bras,
181,El Bulli: 1998-2002,"Ferran Adria, Juli Soler, Albert Adria",2002
182,Larousse Gastronomique: The World's Greatest Culinary Encyclopedia,Joël Robuchon,2009
183,The Emperor,Ryszard Kapuscinski,1978
184,Philosophical Writings,Novalis,1801
185,Eminent Victorians,Lytton Strachey,1918
186,Truman,David McCullough,1992
187,The Everlasting Man,G. K. Chesterton,1925
188,The Bookseller of Kabul,Asne Seierstad,2003
189,The Social Contract,Jean-Jacques Rousseau,1762
190,An Anatomical Exercise on the Motion of the Heart and Blood in Living Beings,William Harvey,1628
191,Radical Chic and Mau-Mauing the Flak Catchers,Tom Wolfe,1970
192,Profiles in Courage,John F. Kennedy,1955
193,The Tipping Point,Malcolm Gladwell,2000
194, The Unheavenly City,Edward C. Banfield,1970
195,Hell's Angels,Hunter S. Thompson,1965
196,Lives of the Caesars,Suetonius,121
197,Geography,Ptolemy,150
198,Future Shock: The Third Wave,Alvin Toffler,1980
199,The End of History and the Last Man,Francis Fukuyama,1992
200,The Age of Reform,Richard Hofstadter,1955
201,The Joy of Cooking,"Irma S. Rombauer, Marion Rombauer Becker, and Ethan Becker",1936
202,The Art of Memory,Frances A. Yates,1966
203,God and Man at Yale,"William F. Buckley, Jr.",1951
204,The Habit of Being,Flannery O'Connor,1978
205,Essays of E. B. White,E. B. White,1977
206,Care of the Soul: Guide for Cultivating Depth and Sacredness,Thomas Moore,1992
207,Hard Times: An Oral History of the Great Depression,Studs Terkel,1970
208,Genetics and the Origin of Species,Theodosius Dobzhansky,1937
209,An Essay on the Principle of Population,Thomas Robert Malthus,1798
210,Encyclopédie,Denis Diderot,1751
211,Ideas Have Consequences,Richard M. Weaver,1948
212, The Economy of Cities,Jane Jacobs,1969
213,Being and Time,Martin Heidegger,1927
214,The Closing of the American Mind,Allan Bloom,1987
215,Ethnic America,Thomas Sowell,1981
216,Main Currents in American Thought,Vernon L Parrington,1927
217,Three Case Histories,Sigmund Freud,1963
218,The Struggle for Europe,Chester Wilmot,1952
219,The City in History,Lewis Mumford,1961
220,Systematic Theology,Wolfhart Pannenberg,1988
221,The Campaign of the Marne,Sewell Tyng,1925
222,Tractatus Logico-Philosophicus,Ludwig Wittgenstein,1921
223,A General Introduction to Psycho-Analysis,Sigmund Freud,1952
224,A Fire on the Moon,Norman Mailer,1970
225,Epitome of Copernican Astronomy,Johannes Kepler,1617
226,What Is Life?,Erwin Schrödinger,1929
227,Kafka's Other Trial,Elias Canetti,1974
228,Thoughts for the Times on War and Death,Sigmund Freud,1952
229,Group Psychology and the Analysis of the Ego,Sigmund Freud,1922
230,The Artist's Way,Julia Cameron,1992
231,An Introduction to Metaphysics,Henri Bergson,1903
232,Almagest,Ptolemy,150
233,New Introductory Lectures on Psycho-Analysis,Sigmund Freud,1933
234,The Voices of Marrakesh: A Record of a Visit,Elias Canetti,1978
235,Atomic Theory and the Description of Nature,Niels Bohr,1952
236,On Narcissism,Sigmund Freud,1914
237,Rameau's Nephew,Denis Diderot,1805
238,Science and the Modern World,Alfred North Whitehead,1925
239,Experience in Education,John Dewey,1938
240,The Fire Next Time,James Baldwin,1963
241,Instincts and Their Vicissitudes,Sigmund Freud,1915
242,Beyond the Pleasure Principle,Sigmund Freud,1920
243,The Expanding Universe,Arthur Eddington,1948
244,Physics and Philosophy,Werner Heisenberg,1934
245,The Nature of Life,C. H. Waddington,1961
246,The Future Prospects of Psycho-Analytic Therapy,Sigmund Freud,1910
247,Essays in Sociology,Max Weber,1958
248,Structural Anthropology,Claude Lévi-Strauss,1963
249,The Word of God and the Word of Man,Karl Barth,1952
250,An Introduction to Mathematics,Alfred North Whitehead,1910
251,The Acquisitive Society,R. H. Tawney,1921
252,Scientific Autobiography and Other Papers,Max Planck,1949
253,What Is Metaphysics?,Martin Heidegger,1930
254,Science and Hypothesis,Henri Poincaré,1905
255,"Observations on ""Wild"" Psycho-Analysis",Sigmund Freud,1952
256,The Origin and Development of Psycho-Analysis,Sigmund Freud,1952
257,The Ego and the Id,Sigmund Freud,1923
258,The Theory of the Leisure Class,Thorstein Veblen,1899
259,Selected Papers on Hysteria,Sigmund Freud,1912
260,Fear and Trembling,Søren Kierkegaard,1843
261,Discussion with Einstein on Epistemology,Niels Bohr,1965
262,The Problems of Philosophy,Bertrand Russell,1912
263,"Inhibitions, Symptoms, and Anxiety",Sigmund Freud,1893
264,Repression,Sigmund Freud,1950
265,The Lives of the Twelve Caesars,Suetonius,121
266,The World as Will and Idea,Arthur Schopenhauer,1818
267,Angela's Ashes: A Memoir,Frank McCourt,1996
268,Insight: A Study of Human Understanding,Bernard Lonergan,1957
269,Night,Elie Wiesel,1960
270,Disraeli,Robert Blake,1967
271,Democracy and Leadership,Irving Babbitt,1924
272,The Machiavellians,James Burnham,1943
273,Reflections of a Russian Statesman,Konstantin P. Pobedonostsev,1898
274,The Hedgehog and the Fox,Isaiah Berlin,1953
275,The ABC of Reading,Ezra Pound,1934
276,Second World War,John Keegan,1990
277,Henry James,Leon Edel,1963
278,The Making of Homeric Verse,Milman Parry,1971
279,The Lives of a Cell,Lewis Thomas,1974
280,The Strange Ride of Rudyard Kipling,Angus Wilson,1977
281,Scrutiny,F. R. Leavis,1947
282,Hiroshima,John Hersey,1946
283,Seven Years in Tibet,Heinrich Harrer,1952
284,The Voyage of the Beagle,Charles Darwin,1839
285,The Edge of the Sword,Charles De Gaulle,1960
286, Bureaucracy,Ludwig von Mises,1945
287,Balzac,Stefan Zweig,1946
288,The Good Society,Walter Lippmann,1937
289,The Christian Tradition,Jaroslav Pelikan,1973
290,Strange Defeat,Marc Bloch,1944
291,Looking Back,Norman Douglas,1998
292, Mont-Saint-Michel and Chartres,Henry Adams,1918
293,Poetry and the Age,Randall Jarrell,1953
294,Love in the Western World,Denis de Rougemont,1939
295,Wealth and Poverty,George Gilder,1981
296,Darwin's Black Box,Michael J. Behe,1996
297,The Way the World Works,Jude Wanniski,1978
298,To the Finland Station,Edmund Wilson,1940
299,Civilisation,Kenneth Clark,1969
300,The Russian Revolution,Richard Pipes,1990
301,The Idea of History,R. G. Collingwood,1946
302,The Last Lion,William Manchester,1988
303,The Starr Report,Kenneth W. Starr,1998
304,The Son of a Servant,August Strindberg,1886
305,The Meaning of Truth,William James,1909
306,A History of Philosophy,Frederick Charles Copleston,1946
307,Parerga and Paralipomena,Arthur Schopenhauer,1851
308,The Kon-Tiki Expedition: By Raft Across the South Seas,Thor Heyerdahl,1948
309,Phaedo,Plato,-399
310,The Triumph of the Therapeutic,Philip Rieff,1966
311,Religion and the Rise of Western Culture,Christopher Dawson,1950
312,I Will Bear Witness,Victor Klemperer,1998
313,Persons and Places,George Santayana,1944
314,Letters from an American Farmer,J. Crevecoeur,1782
315,The Pillow Book,Sei Shōnagon,1002
316,The Great Chain of Being,Arthur Lovejoy,1936
317,Records of the Grand Historian,Sima Qian,-91
318,Prejudices,H. L. Mencken,1919
319,Lost in the Cosmos,Walker Percy,1983
320,The Twilight of the Idols and The Antichrist,Friedrich Nietzsche,1889
321,"Human, All Too Human",Friedrich Nietzsche,1878
322,My Life,Leon Trotsky,1929
323,Germania,Cornelius Tacitus,98
324,The Stripping of the Altars,Eamon Duffy,1992
325,Homo Ludens: A Study of the Play-Element in Culture,Johan Huizinga,1938
326,The Nature and Destiny of Man,Reinhold Niebuhr,1941
327,After Virtue,Alasdair MacIntyre,1981
328,Understanding Poetry,Cleanth Brooks & Robert Penn Warren,1938
329,The Subjection of Women,John Stuart Mill,1869
330,Democratic Vistas,Walt Whitman,1871
331,Natural Right and History,Leo Strauss,1953
332,Crito,Plato,-399
333,The Whig Interpretation of History,Herbert Butterfield,1931
334,Euthyphro,Plato,-399
335,The 18th Brumaire of Louis Bonaparte,Karl Marx,1852
336,Basic Documents in American History,Richard Brandon Morris,1956
337,The Autobiography of Benjamin Franklin,Benjamin Franklin,1771
338,Teacher in America,Jacques Barzun,1945
339,Christ Stopped at Eboli: The Story of a Year,Carlo Levi,1945
340,The New Science of Politics,Eric Voegelin,1952
341,Mencius,Mencius,-400
342,An Autobiography of Anthony Trollope,Anthony Trollope,1883
343,"Protestant, Catholic, Jew",Will Herberg,1955
344,The Guns of August,Barbara Tuchman,1962
345,Sybil,Flora Rheta Schreiber,1973
346,Notes of a Native Son,James Baldwin,1955
347,The Power Broker,Robert Caro,1974
348,Titi Livi Ab urbe condita libri,Livy,-9
349,Citizens,Simon Schama,1989
350,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1995
351,The American Language,H. L. Mencken,1919
352,"Eats, Shoots and Leaves",Lynne Truss,2003
353,Roughing It,Mark Twain,1872
354,Reveille in Washington,Margaret Leech,1942
355,The Making of the English Working Class,E. P. Thompson,1963
356,Memoirs of a Fox-Hunting Man,Siegfried Sassoon,1928
357,A Year in Provence,Peter Mayle,1989
358,Lives of the Artists,Giorgio Vasari,1908
359,The Origins of the Second World War,A. J. P. Taylor,1961
360,Galapagos: World's End,William Beebe,1924
361,A History of the Crusades,Stephen Runciman,1951
362,Napoleon,Vincent Cronin,1971
363,A People's Tragedy,Orlando Figes,1996
364,A History of the English-Speaking Peoples ,Winston Churchill,1956
365,The Name Above the Title: An Autobiography,Frank Capra,1971
366,Schott's Original Miscellany,Ben Schott,2002
367,A Child Called 'It' ,Dave Pelzer,1995
368,The Beauty Myth,Naomi Wolf,1991
369,The Life of Charlotte Brontë,Elizabeth Gaskell,1857
370,The Anglo-Saxon Chronicle,Unknown,875
371,Kama Sutra,Vātsyāyana,200
372,The Two-Ocean War: A Short History of the United States Navy in the Second World War,Samuel Eliot Morison,1963
373,How to Cook,Delia Smith,1971
374,Canon of Medicine,Avicenna,1025
