id,title,author,avg_rating,ratings,url,img,pages,year
789,,,,,,,,1868
790,Cancer Ward,Aleksandr Solzhenitsyn,4.17,"9,119",/book/show/254316.Cancer_Ward,https://d2arxad8u2l0g7.cloudfront.net/books/1328028751l/254316.jpg,576,1967
791,"Abu Telfan: Or, the Return from the Mountains of the Moon, Tr. by S. Delffs",Wilhelm Karl Raabe,0.00,0,/book/show/26664874-abu-telfan,https://d2arxad8u2l0g7.cloudfront.net/books/1444647626l/26664874.jpg,274,1867
792,"Protector (Anniversary of the Veil, Book 1)",Vanna Smythe,3.65,159,/book/show/13530224-protector,https://d2arxad8u2l0g7.cloudfront.net/books/1334218324l/13530224.jpg,328,1970
793,"The Skeleton Key (Sigma Force, #6.5)",James Rollins,4.14,"5,219",/book/show/11379884-the-skeleton-key,https://d2arxad8u2l0g7.cloudfront.net/books/1328337372l/11379884.jpg,46,1950
794,Count Julian,Juan Goytisolo,3.73,153,/book/show/2378592.Count_Julian,https://d2arxad8u2l0g7.cloudfront.net/books/1348256176l/2378592.jpg,204,1970
795,Smilla's Sense of Snow,Peter Høeg,3.72,"28,432",/book/show/124509.Smilla_s_Sense_of_Snow,https://d2arxad8u2l0g7.cloudfront.net/books/1320477208l/124509.jpg,469,1992
796,"Israel Since the Six-Day War: Tears of Joy, Tears of Sorrow",Leslie Stein,really liked it 4.00,,/book/show/22209904-israel-since-the-six-day-war,https://d2arxad8u2l0g7.cloudfront.net/books/1400874378l/22209904.jpg,456,1990
797,,,,,,,,1560
798,First Love,Ivan Turgenev,3.78,"5,726",/book/show/3532.First_Love,https://d2arxad8u2l0g7.cloudfront.net/books/1442616229l/3532.jpg,124,1860
799,"Tracker (Rylee Adamson, #6)",Shannon Mayer,4.26,"3,592",/book/show/20737927-tracker,https://d2arxad8u2l0g7.cloudfront.net/books/1391616032l/20737927.jpg,270,
800,"PILGRIM OF LOVE - FROM WASHINGTON IRVING'S ""TALES OF THE ALHAMBRA"": A BEAUTIFUL LOVE STORY BY WASHINGTON IRVING! (TALES FOR CHILDREN Book 2)",Washington Irving,0.00,0,/book/show/25655372-pilgrim-of-love---from-washington-irving-s-tales-of-the-alhambra,https://d2arxad8u2l0g7.cloudfront.net/books/1433333228l/25655372.jpg,50,1859
801,,,,,,,,1999
802,Ember (Ember #1),E.E. Martin,4.61,28,/book/show/11967115-ember,https://d2arxad8u2l0g7.cloudfront.net/books/1328349225l/11967115.jpg,210,1942
803,"Memed, My Hawk",Yashar Kemal,it was amazing 5.00,,/book/show/31191405-memed-my-hawk,https://d2arxad8u2l0g7.cloudfront.net/books/1469130846l/31191405.jpg,368,1955
804,The Collected Stories,Heinrich Böll,4.45,53,/book/show/10970535-the-collected-stories,https://d2arxad8u2l0g7.cloudfront.net/books/1333580971l/10970535.jpg,976,1948
805,The Black Book,Orhan Pamuk,3.86,"6,091",/book/show/11692.The_Black_Book,https://d2arxad8u2l0g7.cloudfront.net/books/1388236741l/11692.jpg,466,1990
806,On and Beyond the Plum in the Golden Vase 从金瓶梅说开去,Liu Xinwu 刘心武,0.00,0,/book/show/31187295-on-and-beyond-the-plum-in-the-golden-vase,https://d2arxad8u2l0g7.cloudfront.net/books/1469089531l/31187295.jpg,278,1610
807,Hyperion,Jackson J. Radley,0.00,0,/book/show/23150042-hyperion,https://d2arxad8u2l0g7.cloudfront.net/books/1409657087l/23150042.jpg,529,1797
808,She Stoops to Conquer,Oliver Goldsmith,3.66,"7,185",/book/show/388997.She_Stoops_to_Conquer,https://d2arxad8u2l0g7.cloudfront.net/books/1328026670l/388997.jpg,84,1773
809,Identity,Milan Kundera,3.68,"13,657",/book/show/28635.Identity,https://d2arxad8u2l0g7.cloudfront.net/books/1410130249l/28635.jpg,168,1998
810,Shahnameh: The Persian Book of Kings,Abolqasem Ferdowsi,4.51,"2,951",/book/show/157985.Shahnameh,https://d2arxad8u2l0g7.cloudfront.net/books/1386921438l/157985.jpg,886,1010
811,"And Where Were You, Adam?",Heinrich Böll,3.88,425,/book/show/943294.And_Where_Were_You_Adam_,https://d2arxad8u2l0g7.cloudfront.net/books/1347592284l/943294.jpg,156,1951
812,The Dancing Girl of Izu and Other Stories,Yasunari Kawabata,3.80,"1,467",/book/show/14030.The_Dancing_Girl_of_Izu_and_Other_Stories,https://d2arxad8u2l0g7.cloudfront.net/books/1328698047l/14030.jpg,176,1929
813,The Burn - A Novel in Three Books,Vassily Aksyonov,0.00,0,/book/show/29930206-the-burn---a-novel-in-three-books,https://d2arxad8u2l0g7.cloudfront.net/books/1460859738l/29930206.jpg,528,1975
814,The Garlic Ballads,Mo Yan,3.68,"1,409",/book/show/251392.The_Garlic_Ballads,https://d2arxad8u2l0g7.cloudfront.net/books/1348734465l/251392.jpg,286,
815,"If Not Now, When?",Primo Levi,4.22,"1,877",/book/show/136096.If_Not_Now_When_,https://d2arxad8u2l0g7.cloudfront.net/books/1334729165l/136096.jpg,331,1982
816,Life and Fate,Vasily Grossman,4.43,"4,412",/book/show/88432.Life_and_Fate,https://d2arxad8u2l0g7.cloudfront.net/books/1320447178l/88432.jpg,864,1959
817,The Return of Uncle Walter and Other Stories,Denys Val Baker,0.00,0,/book/show/30089241-the-return-of-uncle-walter-and-other-stories,https://d2arxad8u2l0g7.cloudfront.net/books/1462275781l/30089241.jpg,247,
818,Dreamtigers,Jorge Luis Borges,4.21,"2,150",/book/show/146429.Dreamtigers,https://d2arxad8u2l0g7.cloudfront.net/books/1387664837l/146429.jpg,96,1960
819,Dog Star,Agneta Pleijel,really liked it 4.00,13,/book/show/1936544.Dog_Star,https://d2arxad8u2l0g7.cloudfront.net/books/1328045234l/1936544.jpg,160,
820,Burmese Days,George Orwell,3.82,"12,820",/book/show/9650.Burmese_Days,https://d2arxad8u2l0g7.cloudfront.net/books/1415573403l/9650.jpg,376,1934
821,Confessions of a Mask,Yukio Mishima,3.90,"7,548",/book/show/62794.Confessions_of_a_Mask,https://d2arxad8u2l0g7.cloudfront.net/books/1441790556l/62794.jpg,224,1949
822,Ivanhoe,Walter Scott,3.74,"66,226",/book/show/6440.Ivanhoe,https://d2arxad8u2l0g7.cloudfront.net/books/1405336818l/6440.jpg,544,1820
823,Elective Affinities,Johann Wolfgang von Goethe,3.74,"4,225",/book/show/128837.Elective_Affinities,https://d2arxad8u2l0g7.cloudfront.net/books/1171977388l/128837.jpg,272,1809
824,Meet Me at the Teahouse,Barbara Hannay,4.23,13,/book/show/30623099-meet-me-at-the-teahouse,https://d2arxad8u2l0g7.cloudfront.net/books/1465949346l/30623099.jpg,37,1957
825,Beauty and Sadness,Yasunari Kawabata,3.88,"4,550",/book/show/14029.Beauty_and_Sadness,https://d2arxad8u2l0g7.cloudfront.net/books/1379601229l/14029.jpg,206,1964
826,"Six Months: March-August, 1914 (1914)",Clare Benedict,0.00,0,/book/show/12691283-six-months,https://d2arxad8u2l0g7.cloudfront.net/books/1348827900l/12691283.jpg,72,1971
827,Green Henry,Gottfried Keller,3.67,210,/book/show/294251.Green_Henry,https://d2arxad8u2l0g7.cloudfront.net/books/1348145646l/294251.jpg,706,1855
828,Journey to the Sacred Mountains: Awakening Your Soul in Nature,Flynn Johnson,3.50,4,/book/show/9613427-journey-to-the-sacred-mountains,https://d2arxad8u2l0g7.cloudfront.net/books/1328729319l/9613427.jpg,176,1990
829,Romance of Three Kingdoms,Guanzhong Luo,4.61,18,/book/show/24769624-romance-of-three-kingdoms,https://d2arxad8u2l0g7.cloudfront.net/books/1422667536l/24769624.jpg,683,1301
830,Beyond The Rings Of Saturn,Peter Williams,0.00,0,/book/show/21381846-beyond-the-rings-of-saturn,https://d2arxad8u2l0g7.cloudfront.net/books/1394355984l/21381846.jpg,14,1998
831,Alcestis and Electra,Theodore Alois Buckley,0.00,0,/book/show/30560440-alcestis-and-electra,,96,-438
832,Los años con Laura Díaz,Carlos Fuentes,3.78,790,/book/show/59425.Los_a_os_con_Laura_D_az,https://d2arxad8u2l0g7.cloudfront.net/books/1389317662l/59425.jpg,648,1999
833,Happy Moscow,Andrei Platonov,3.85,401,/book/show/341711.Happy_Moscow,https://d2arxad8u2l0g7.cloudfront.net/books/1173894797l/341711.jpg,153,
834,,,,,,,,1972
835,Wo cheng,西西 (Xi Xi),4.17,6,/book/show/3089813-wo-cheng,,,
836,The Stone Raft,José Saramago,3.79,"4,328",/book/show/29565.The_Stone_Raft,https://d2arxad8u2l0g7.cloudfront.net/books/1348652119l/29565.jpg,272,1986
837,Book of Songs,Associated Harvard Clubs,0.00,0,/book/show/29137535-book-of-songs,,44,1937
