id,title,author,avg_rating,ratings,url,img,pages,year
639,The English Patient,Michael Ondaatje,3.87,"85,923",/book/show/11713.The_English_Patient,https://d2arxad8u2l0g7.cloudfront.net/books/1320527907l/11713.jpg,320,1992
640,Of Human Bondage,W. Somerset Maugham,4.10,"35,490",/book/show/31548.Of_Human_Bondage,https://d2arxad8u2l0g7.cloudfront.net/books/1386924695l/31548.jpg,684,1915
641,"Twelfth Night: Or, What You Will",William Shakespeare,liked it 3.00,,/book/show/30433880-twelfth-night,,200,1602
642,The Return of the Native,Thomas Hardy,3.83,"24,557",/book/show/32650.The_Return_of_the_Native,https://d2arxad8u2l0g7.cloudfront.net/books/1403182613l/32650.jpg,448,1878
643,Loving,Henry Green,3.56,"2,306",/book/show/771507.Loving,https://d2arxad8u2l0g7.cloudfront.net/books/1358882664l/771507.jpg,224,1945
644,Henry V,William Shakespeare,3.85,"29,638",/book/show/37526.Henry_V,https://d2arxad8u2l0g7.cloudfront.net/books/1331563646l/37526.jpg,352,1599
645,Prufrock and Other Observations,T.S. Eliot,4.37,"1,243",/book/show/197315.Prufrock_and_Other_Observations,https://d2arxad8u2l0g7.cloudfront.net/books/1347955075l/197315.jpg,48,1917
646,Norwegian Wood,Haruki Murakami,4.02,"185,171",/book/show/11297.Norwegian_Wood,https://d2arxad8u2l0g7.cloudfront.net/books/1386924361l/11297.jpg,296,1987
647,"Billy Budd, Sailor",Herman Melville,3.07,"11,107",/book/show/15613.Billy_Budd_Sailor,https://d2arxad8u2l0g7.cloudfront.net/books/1441739909l/15613.jpg,160,1924
648,Much Ado About Nothing,William Shakespeare,4.06,"175,505",/book/show/12957.Much_Ado_About_Nothing,https://d2arxad8u2l0g7.cloudfront.net/books/1327885569l/12957.jpg,246,1599
649,East of Eden,John Steinbeck,4.33,"309,515",/book/show/4406.East_of_Eden,https://d2arxad8u2l0g7.cloudfront.net/books/1441547516l/4406.jpg,601,1952
650,"The Lusiad: Or, the Discovery of India. an Epic Poem",William Julius Mickle,0.00,0,/book/show/30941994-the-lusiad,,458,1572
651,Studs Lonigan,James T. Farrell,3.79,"1,743",/book/show/126603.Studs_Lonigan,https://d2arxad8u2l0g7.cloudfront.net/books/1347748541l/126603.jpg,988,1935
652,The Wcc Sir Gawain and the Green Knight,James Leigh,0.00,0,/book/show/30894233-the-wcc-sir-gawain-and-the-green-knight,https://d2arxad8u2l0g7.cloudfront.net/books/1470022729l/30894233.jpg,80,2007
653,Long Day's Journey Into Night,Eugene O'Neill,4.06,"26,044",/book/show/12083.Long_Day_s_Journey_Into_Night,https://d2arxad8u2l0g7.cloudfront.net/books/1388252659l/12083.jpg,179,1956
654,"A Suitable Boy (A Suitable Boy, #1)",Vikram Seth,4.09,"32,904",/book/show/50365.A_Suitable_Boy,https://d2arxad8u2l0g7.cloudfront.net/books/1329421639l/50365.jpg,1474,1994
655,Nightmare Abbey,Thomas Love Peacock,3.56,994,/book/show/1275404.Nightmare_Abbey,https://d2arxad8u2l0g7.cloudfront.net/books/1387724701l/1275404.jpg,248,1818
656,Petersburg,Andrei Bely,3.97,"3,042",/book/show/184913.Petersburg,https://d2arxad8u2l0g7.cloudfront.net/books/1386923692l/184913.jpg,384,1913
657,Babbitt,Sinclair Lewis,3.63,"15,432",/book/show/169718.Babbitt,https://d2arxad8u2l0g7.cloudfront.net/books/1348449518l/169718.jpg,348,1922
658,Wise Children,Angela Carter,3.95,"4,619",/book/show/721867.Wise_Children,https://d2arxad8u2l0g7.cloudfront.net/books/1408540167l/721867.jpg,240,1991
659,The Day of the Triffids,John Wyndham,3.99,"59,693",/book/show/530965.The_Day_of_the_Triffids,https://d2arxad8u2l0g7.cloudfront.net/books/1320530145l/530965.jpg,228,1951
660,Selected Stories,Stefan Zweig,4.29,218,/book/show/6907491-selected-stories,https://d2arxad8u2l0g7.cloudfront.net/books/1328692497l/6907491.jpg,256,1930
661,Death of a Salesman,Arthur Miller,3.47,"134,029",/book/show/12898.Death_of_a_Salesman,https://d2arxad8u2l0g7.cloudfront.net/books/1469024140l/12898.jpg,117,1949
662,The 10 Best Lord Alfred Tennyson Poems,Alfred Tennyson,4.33,18,/book/show/20797811-the-10-best-lord-alfred-tennyson-poems,https://d2arxad8u2l0g7.cloudfront.net/books/1392190899l/20797811.jpg,135,1892
