id,title,author,avg_rating,ratings,url,img,pages,year
766,Silent Souls and Other Stories: An English Translation,Caterina Albert,it was amazing 5.00,,/book/show/14358597-silent-souls-and-other-stories,,,
767,The First Circle,Aleksandr Solzhenitsyn,4.17,"5,565",/book/show/98969.The_First_Circle,https://d2arxad8u2l0g7.cloudfront.net/books/1171430589l/98969.jpg,580,1968
768,Simplicissimus,Hans Jakob Christoffel von Grimmelshausen,3.71,"1,211",/book/show/999513.Simplicissimus,https://d2arxad8u2l0g7.cloudfront.net/books/1349140020l/999513.jpg,434,1668
769,Schatzkastlein Des Rheinischen Hausfreundes,Johann Peter Hebel,0.00,0,/book/show/27703209-schatzkastlein-des-rheinischen-hausfreundes,,174,1811
770,The Three-Arched Bridge,Ismail Kadare,3.90,658,/book/show/17896.The_Three_Arched_Bridge,https://d2arxad8u2l0g7.cloudfront.net/books/1348764493l/17896.jpg,184,1978
771,Sudelbücher: Ausgesucht feine Texte mit Biss,Georg Christoph Lichtenberg,0.00,0,/book/show/19218826-sudelb-cher,https://d2arxad8u2l0g7.cloudfront.net/books/1386283473l/19218826.jpg,256,
772,Essays and Aphorisms,Arthur Schopenhauer,4.15,"4,031",/book/show/19510.Essays_and_Aphorisms,https://d2arxad8u2l0g7.cloudfront.net/books/1386922267l/19510.jpg,240,1860
773,The Vendor Of Sweets,R.K. Narayan,3.78,"1,570",/book/show/113126.The_Vendor_Of_Sweets,https://d2arxad8u2l0g7.cloudfront.net/books/1356458165l/113126.jpg,144,1967
774,The Complete Poems and Plays,T.S. Eliot,4.44,457,/book/show/274893.The_Complete_Poems_and_Plays,https://d2arxad8u2l0g7.cloudfront.net/books/1440772447l/274893.jpg,608,1965
775,The Iceman Cometh,Eugene O'Neill,3.96,"6,283",/book/show/111734.The_Iceman_Cometh,https://d2arxad8u2l0g7.cloudfront.net/books/1327871756l/111734.jpg,240,1939
776,Lenz,Georg Buchner,liked it 3.00,,/book/show/30017628-lenz,,34,1839
777,The Collected Songs of Cold Mountain,Han Shan,4.39,462,/book/show/10921.The_Collected_Songs_of_Cold_Mountain,https://d2arxad8u2l0g7.cloudfront.net/books/1328757968l/10921.jpg,320,1985
778,Anna Édes,Dezső Kosztolányi,3.82,931,/book/show/654438.Anna_des,https://d2arxad8u2l0g7.cloudfront.net/books/1176786394l/654438.jpg,,1991
779,Italian Folktales,Italo Calvino,4.19,"2,811",/book/show/9807.Italian_Folktales,https://d2arxad8u2l0g7.cloudfront.net/books/1439401748l/9807.jpg,800,1956
780,Querelle,Jean Genet,3.95,"1,458",/book/show/53007.Querelle,https://d2arxad8u2l0g7.cloudfront.net/books/1389104954l/53007.jpg,276,1947
781,Somersault,Kenzaburō Ōe,3.22,242,/book/show/251160.Somersault,https://d2arxad8u2l0g7.cloudfront.net/books/1328822239l/251160.jpg,576,1999
782,The Gift,Vladimir Nabokov,3.99,"2,271",/book/show/8147.The_Gift,https://d2arxad8u2l0g7.cloudfront.net/books/1348418558l/8147.jpg,406,1938
783,Jealousy,Alain Robbe-Grillet,3.65,"1,404",/book/show/101999.Jealousy,https://d2arxad8u2l0g7.cloudfront.net/books/1171484161l/101999.jpg,103,1957
784,The Life and Opinions of the Tomcat Murr,E.T.A. Hoffmann,really liked it 4.00,948,/book/show/594852.The_Life_and_Opinions_of_the_Tomcat_Murr,https://d2arxad8u2l0g7.cloudfront.net/books/1375745289l/594852.jpg,384,1819
785,Julius Caesar,William Shakespeare,3.64,"125,818",/book/show/13006.Julius_Caesar,https://d2arxad8u2l0g7.cloudfront.net/books/1354574927l/13006.jpg,95,1599
786,Siebenkäs,Jean Paul Friedrich Richter,3.95,39,/book/show/13540251-siebenk-s,https://d2arxad8u2l0g7.cloudfront.net/books/1331653519l/13540251.jpg,596,1796
787,"Jean Clopinel, dit de Meung: le Roman de la Rose consid",Felix Guillon,0.00,0,/book/show/11749713-jean-clopinel-dit-de-meung,,0,1230
788,The Loyal Subject,Heinrich Mann,3.76,"2,000",/book/show/331315.The_Loyal_Subject,https://d2arxad8u2l0g7.cloudfront.net/books/1349036831l/331315.jpg,352,1918
789,,,,,,,,1868
