id,title,author,avg_rating,ratings,url,img,pages,year
570,Trilce,César Vallejo,4.28,518,/book/show/167425.Trilce,https://d2arxad8u2l0g7.cloudfront.net/books/1347776177l/167425.jpg,256,1922
571,Three Trapped Tigers,Guillermo Cabrera Infante,really liked it 4.00,"1,016",/book/show/223455.Three_Trapped_Tigers,https://d2arxad8u2l0g7.cloudfront.net/books/1403209034l/223455.jpg,487,1967
572,In Chancery (The Forsyte Saga),John Galsworthy,4.26,727,/book/show/6383607-in-chancery,https://d2arxad8u2l0g7.cloudfront.net/books/1394341794l/6383607.jpg,320,1920
573,"Indian Summer of a Forsyte (The Forsyte Chronicles, #1.5)",John Galsworthy,4.32,384,/book/show/87715.Indian_Summer_of_a_Forsyte,https://d2arxad8u2l0g7.cloudfront.net/books/1171110438l/87715.jpg,336,1918
574,Death on the Installment Plan,Louis-Ferdinand Céline,4.23,"4,807",/book/show/106096.Death_on_the_Installment_Plan,https://d2arxad8u2l0g7.cloudfront.net/books/1327947390l/106096.jpg,592,1936
575,"The Tower Treasure (Hardy Boys, #1)",Franklin W. Dixon,3.87,"9,946",/book/show/87976.The_Tower_Treasure,https://d2arxad8u2l0g7.cloudfront.net/books/1171121302l/87976.jpg,214,1927
576,"Michael's Awakening (Awakening, #1)",Jaclyn Osborn,3.89,512,/book/show/25438044-michael-s-awakening,https://d2arxad8u2l0g7.cloudfront.net/books/1432136275l/25438044.jpg,190,1920
577,"Tarzan of the Apes (Tarzan, #1)",Edgar Rice Burroughs,3.87,"29,031",/book/show/40425.Tarzan_of_the_Apes,https://d2arxad8u2l0g7.cloudfront.net/books/1349074111l/40425.jpg,324,1912
578,Lad: A Dog,Albert Payson Terhune,4.24,"7,379",/book/show/72707.Lad,https://d2arxad8u2l0g7.cloudfront.net/books/1170818244l/72707.jpg,238,1919
579,The Manticore,Robertson Davies,3.99,"4,012",/book/show/114496.The_Manticore,https://d2arxad8u2l0g7.cloudfront.net/books/1309286341l/114496.jpg,288,1972
580,The Progress of Love,Alice Munro,4.17,"1,844",/book/show/31659.The_Progress_of_Love,https://d2arxad8u2l0g7.cloudfront.net/books/1398025478l/31659.jpg,320,1986
581,"And Be a Villain  (Nero Wolfe, #13)",Rex Stout,4.13,"2,765",/book/show/77592.And_Be_a_Villain,https://d2arxad8u2l0g7.cloudfront.net/books/1347415386l/77592.jpg,156,1934
582,Fifth Business,Robertson Davies,4.04,"12,469",/book/show/74406.Fifth_Business,https://d2arxad8u2l0g7.cloudfront.net/books/1170852646l/74406.jpg,252,1970
583,World of Wonders,Robertson Davies,4.11,"3,264",/book/show/41098.World_of_Wonders,https://d2arxad8u2l0g7.cloudfront.net/books/1390022192l/41098.jpg,352,1975
584,To Let,John Galsworthy,4.26,756,/book/show/1131795.To_Let,https://d2arxad8u2l0g7.cloudfront.net/books/1181245865l/1131795.jpg,230,1921
