id,title,author,avg_rating,ratings,url,img,pages,year
1016,Luce and His Empire,W.A. Swanberg,3.44,18,/book/show/1985685.Luce_and_His_Empire,https://d2arxad8u2l0g7.cloudfront.net/books/1394408586l/1985685.jpg,529,1973
1017,Ashes to Ashes,Dale Andradé,3.83,6,/book/show/1113200.Ashes_to_Ashes,https://d2arxad8u2l0g7.cloudfront.net/books/1291765596l/1113200.jpg,331,1996
1018,Liberty's Exiles: American Loyalists in the Revolutionary World,Maya Jasanoff,3.94,468,/book/show/8693818-liberty-s-exiles,https://d2arxad8u2l0g7.cloudfront.net/books/1320562259l/8693818.jpg,460,2011
1019,Across the Wide Missouri,Bernard DeVoto,4.18,246,/book/show/831175.Across_the_Wide_Missouri,https://d2arxad8u2l0g7.cloudfront.net/books/1348276416l/831175.jpg,480,1947
1020,In Our Image: America's Empire in the Philippines,Stanley Karnow,4.08,392,/book/show/362730.In_Our_Image,https://d2arxad8u2l0g7.cloudfront.net/books/1264555720l/362730.jpg,536,1989
1021,Fargo Rock City: A Heavy Metal Odyssey in Rural North Dakota,Chuck Klosterman,3.79,"10,974",/book/show/24476.Fargo_Rock_City,https://d2arxad8u2l0g7.cloudfront.net/books/1440854466l/24476.jpg,288,2001
1022,Jonathan Edwards,Thomas H. Johnson,0.00,0,/book/show/626871.Jonathan_Edwards,,0,1941
1023,The Growth of American Thought,Merle Curti,4.14,7,/book/show/4353469-the-growth-of-american-thought,https://d2arxad8u2l0g7.cloudfront.net/books/1416182394l/4353469.jpg,939,1943
1024,A Nation Under Our Feet: Black Political Struggles in the Rural South from Slavery to the Great Migration,Steven Hahn,3.99,452,/book/show/110244.A_Nation_Under_Our_Feet,https://d2arxad8u2l0g7.cloudfront.net/books/1348719929l/110244.jpg,624,2003
1025,"Twilight of the Old Order 1774-1778 (Age of the French Revolution, Vol 1)",Claude Manceron,4.43,21,/book/show/3902048-twilight-of-the-old-order-1774-1778,https://d2arxad8u2l0g7.cloudfront.net/books/1370413055l/3902048.jpg,650,1967
