id,title,author,avg_rating,ratings,url,img,pages,year
35,Invisible Man,Ralph Ellison,3.82,"116,319",/book/show/16981.Invisible_Man,https://d2arxad8u2l0g7.cloudfront.net/books/1352854247l/16981.jpg,581,1952
36,The Stranger,Albert Camus,3.94,"419,047",/book/show/49552.The_Stranger,https://d.gr-assets.com/books/1349927872l/49552.jpg,123,1946
37,Great Expectations,Charles Dickens,3.73,"461,843",/book/show/2623.Great_Expectations,https://d.gr-assets.com/books/1327920219l/2623.jpg,505,1861
38,The Aeneid,Virgil,3.80,"77,579",/book/show/12914.The_Aeneid,https://d2arxad8u2l0g7.cloudfront.net/books/1386923968l/12914.jpg,442,-19
39,David Copperfield,Charles Dickens,3.95,"151,345",/book/show/58696.David_Copperfield,https://d.gr-assets.com/books/1461452762l/58696.jpg,974,1850
40,Mrs. Dalloway,Virginia Woolf,3.77,"134,541",/book/show/14942.Mrs_Dalloway,https://d2arxad8u2l0g7.cloudfront.net/books/1275686311l/14942.jpg,194,1925
41,Beloved,Toni Morrison,3.75,"224,328",/book/show/6149.Beloved,https://d2arxad8u2l0g7.cloudfront.net/books/1347984578l/6149.jpg,324,1987
42,The Canterbury Tales,Geoffrey Chaucer,3.48,"148,610",/book/show/2696.The_Canterbury_Tales,https://d.gr-assets.com/books/1261208589l/2696.jpg,504,1380
43,Collected Fictions,Jorge Luis Borges,4.60,"15,204",/book/show/17961.Collected_Fictions,https://d2arxad8u2l0g7.cloudfront.net/books/1386924676l/17961.jpg,565,1935
44,Leaves of Grass,Walt Whitman,4.13,"61,906",/book/show/27494.Leaves_of_Grass,https://d2arxad8u2l0g7.cloudfront.net/books/1418012204l/27494.jpg,624,1855
45,Candide,Voltaire,3.75,"154,729",/book/show/19380.Candide,https://d2arxad8u2l0g7.cloudfront.net/books/1345060082l/19380.jpg,94,1759
46,Jane Eyre,Charlotte Brontë,4.09,"1,181,512",/book/show/10210.Jane_Eyre,https://d2arxad8u2l0g7.cloudfront.net/books/1327867269l/10210.jpg,507,1847
47,As I Lay Dying,William Faulkner,3.72,"101,690",/book/show/77013.As_I_Lay_Dying,https://d.gr-assets.com/books/1451810782l/77013.jpg,267,1930
48,The Sun Also Rises,Ernest Hemingway,3.83,"277,938",/book/show/3876.The_Sun_Also_Rises,https://d2arxad8u2l0g7.cloudfront.net/books/1331828228l/3876.jpg,256,1926
49,The Complete Stories,Franz Kafka,4.35,"19,165",/book/show/22904.The_Complete_Stories,https://d2arxad8u2l0g7.cloudfront.net/books/1383618248l/22904.jpg,486,1971
50,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,3.74,"14,514",/book/show/76527.The_Life_and_Opinions_of_Tristram_Shandy_Gentleman,https://d2arxad8u2l0g7.cloudfront.net/books/1403402384l/76527.jpg,784,1759
51,A Portrait of the Artist as a Young Man,James Joyce,3.60,"95,317",/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man,https://d2arxad8u2l0g7.cloudfront.net/books/1388201200l/7588.jpg,329,1917
52,The Portrait of a Lady,Henry James,3.75,"55,261",/book/show/264.The_Portrait_of_a_Lady,https://d2arxad8u2l0g7.cloudfront.net/books/1386925428l/264.jpg,656,1881
53,Antigone / Oedipus the King / Electra,Sophocles,3.91,"8,525",/book/show/1549.Antigone_Oedipus_the_King_Electra,https://d.gr-assets.com/books/1390739648l/1549.jpg,178,-429
54,Les Misérables,Victor Hugo,4.13,"527,758",/book/show/24280.Les_Mis_rables,https://d2arxad8u2l0g7.cloudfront.net/books/1411852091l/24280.jpg,1463,1862
55,To Kill a Mockingbird,Harper Lee,4.24,"2,964,471",/book/show/2657.To_Kill_a_Mockingbird,https://d.gr-assets.com/books/1361975680l/2657.jpg,324,1960
56,Paradise Lost,John Milton,3.79,"97,538",/book/show/15997.Paradise_Lost,https://d.gr-assets.com/books/1455618673l/15997.jpg,453,1667
